fragment_length	selection_freq
50	0.588
51	0.542
52	0.544
53	0.569
54	0.508
55	0.589
56	0.574
57	0.616
58	0.653
59	0.655
60	0.688
61	0.678
62	0.671
63	0.771
64	0.775
65	0.795
66	0.819
67	0.82
68	0.828
69	0.813
70	0.817
71	0.849
72	0.88
73	0.903
74	0.916
75	0.922
76	0.937
77	0.954
78	0.949
79	0.937
80	0.878
81	0.719
82	0.698
83	0.602
84	0.439
85	0.428
86	0.392
87	0.374
88	0.309
89	0.229
90	0.192
91	0.247
92	0.251
93	0.304
94	0.591
95	0.803
96	0.856
97	0.847
98	0.801
99	0.691
100	0.606
101	0.577
102	0.646
103	0.778
104	0.818
105	0.869
106	0.889
107	0.878
108	0.837
109	0.729
110	0.54
111	0.412
112	0.393
113	0.516
114	0.666
115	0.71
116	0.708
117	0.679
118	0.637
119	0.512
120	0.362
121	0.253
122	0.187
123	0.203
124	0.332
125	0.534
126	0.68
127	0.692
128	0.675
129	0.613
130	0.486
131	0.379
132	0.263
133	0.196
134	0.177
135	0.221
136	0.356
137	0.45
138	0.44
139	0.364
140	0.25
141	0.166
142	0.157
143	0.175
144	0.198
145	0.223
146	0.297
147	0.359
148	0.381
149	0.352
150	0.272
151	0.186
152	0.127
153	0.104
154	0.104
155	0.106
156	0.094
157	0.082
158	0.07
159	0.068
160	0.058
161	0.053
162	0.056
163	0.058
164	0.063
165	0.059
166	0.046
167	0.034
168	0.023
169	0.016
170	0.009
171	0.005
172	0.002
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0.001
242	0.001
243	0.001
244	0.002
245	0.001
246	0
247	0
248	0.002
249	0.002
250	0
251	0
252	0.003
253	0.007
254	0.011
255	0.006
256	0.006
257	0.006
258	0.027
259	0.024
260	0.016
261	0.005
262	0.012
263	0.023
264	0.029
265	0.001
266	0.024
267	0.068
268	0.092
269	0.034
270	0.052
271	0.074
272	0.077
273	0.05
274	0.051
275	0.06
276	0.078
277	0.072
278	0.078
279	0.069
280	0.064
281	0.07
282	0.054
283	0.037
284	0.042
285	0.035
286	0.03
287	0.023
288	0.026
289	0.028
290	0.025
291	0.02
292	0.02
293	0.03
294	0.02
295	0.016
296	0.015
297	0.024
298	0.022
299	0.018
300	0.019
301	0.025
302	0.026
303	0.023
304	0.017
305	0.024
306	0.031
307	0.023
308	0.022
309	0.025
310	0.031
311	0.034
312	0.028
313	0.026
314	0.035
315	0.037
316	0.031
317	0.028
318	0.035
319	0.037
320	0.033
321	0.033
322	0.035
323	0.035
324	0.034
325	0.032
326	0.032
327	0.033
328	0.034
329	0.03
330	0.033
331	0.035
332	0.032
333	0.029
334	0.032
335	0.038
336	0.039
337	0.038
338	0.037
339	0.039
340	0.039
341	0.039
342	0.038
343	0.043
344	0.046
345	0.041
346	0.041
347	0.045
348	0.045
349	0.045
350	0.044
351	0.045
352	0.045
353	0.045
354	0.044
355	0.045
356	0.048
357	0.046
358	0.044
359	0.047
360	0.055
361	0.051
362	0.045
363	0.051
364	0.053
365	0.049
366	0.049
367	0.05
368	0.053
369	0.049
370	0.048
371	0.048
372	0.053
373	0.049
374	0.047
375	0.049
376	0.055
377	0.056
378	0.049
379	0.052
380	0.056
381	0.057
382	0.054
383	0.056
384	0.058
385	0.056
386	0.054
387	0.053
388	0.057
389	0.057
390	0.054
391	0.055
392	0.058
393	0.057
394	0.056
395	0.056
396	0.057
397	0.058
398	0.056
399	0.056
400	0.059
401	0.059
402	0.057
403	0.059
404	0.061
405	0.06
406	0.061
407	0.062
408	0.062
409	0.063
410	0.063
411	0.061
412	0.065
413	0.065
414	0.066
415	0.066
416	0.066
417	0.07
418	0.071
419	0.072
420	0.074
421	0.073
422	0.077
423	0.077
424	0.078
425	0.083
426	0.08
427	0.084
428	0.083
429	0.082
430	0.085
431	0.084
432	0.089
433	0.089
434	0.087
435	0.085
436	0.088
437	0.086
438	0.088
439	0.088
440	0.09
441	0.089
442	0.087
443	0.087
444	0.086
445	0.086
446	0.085
447	0.091
448	0.086
449	0.09
450	0.087
