fragment_length	cancer	healthy	enrichment	threshold_95	threshold_99	sig_95	sig_99
50	5.734533091497556e-6	1.6628481486887993e-6	3.428005761307361	3.4812378989261834	4.6079895205351935	FALSE	FALSE
51	5.735770984331895e-6	1.8434727910771542e-6	3.0946075992831408	3.2574360186271796	4.297945488543542	FALSE	FALSE
52	5.877805423246458e-6	1.904724223187137e-6	3.0697921674916766	3.166909584620896	4.281921471151525	FALSE	FALSE
53	6.024912782981133e-6	1.936095519816851e-6	3.095897771527753	3.130682077940447	4.218311607076773	FALSE	FALSE
54	6.414856575538656e-6	2.2251502160260273e-6	2.8699890188785226	3.0162563230755524	4.06997836741985	FALSE	FALSE
55	7.4923229156797995e-6	2.4581801734441006e-6	3.035565635074771	2.98062098019296	3.907584375548396	TRUE	FALSE
56	8.481448737429021e-6	2.7886538112164876e-6	3.030545865814822	3.004345290153418	3.9699571220348244	TRUE	FALSE
57	9.88713331555832e-6	3.092894030527785e-6	3.18642313217399	3.048122217336399	4.067045797505739	TRUE	FALSE
58	1.2323027326558758e-5	3.5965623978590908e-6	3.4168346384007915	3.0907948169191357	4.111486574901686	TRUE	FALSE
59	1.5136934865584668e-5	4.309609027853312e-6	3.504237251098434	3.1554982394011346	4.205090473661745	TRUE	FALSE
60	1.7258784772785374e-5	4.510632765754107e-6	3.817780754837837	3.1317440106754826	4.237353715477831	TRUE	FALSE
61	1.8190478918607937e-5	5.121280542673959e-6	3.5450174215438057	2.9937948956532083	3.968893783658739	TRUE	FALSE
62	1.802139263819215e-5	5.364701485793571e-6	3.3530034525315235	2.8965246686853705	3.9032404914300596	TRUE	FALSE
63	1.8726901193498715e-5	5.215325810199566e-6	3.5838724461821636	2.699973083603803	3.5745339740627258	TRUE	TRUE
64	1.9787515863307917e-5	5.581357830441389e-6	3.538946435439612	2.659302641264764	3.5534843173547594	TRUE	FALSE
65	2.2047193691327175e-5	6.278749137798909e-6	3.505815418651569	2.6022340768554195	3.4517808417797373	TRUE	TRUE
66	2.4388705068776944e-5	7.036066011898716e-6	3.4613222509683634	2.5064002557360485	3.3180739911700536	TRUE	TRUE
67	2.730912005442559e-5	8.102878066943695e-6	3.3661445209805247	2.451707929143211	3.2463106469231464	TRUE	TRUE
68	3.2325571280023734e-5	9.26695322313281e-6	3.4845029938727503	2.507151264566355	3.3583971133886363	TRUE	TRUE
69	4.048161507160706e-5	1.190594226808635e-5	3.3972651227109574	2.4759022052940067	3.3201730317971823	TRUE	TRUE
70	4.6717603911524914e-5	1.3900966896162357e-5	3.3583290263175725	2.4744834228773236	3.298088467749771	TRUE	TRUE
71	4.4664807674172454e-5	1.3491401300932338e-5	3.3081608848326085	2.386119523544628	3.2168961113642642	TRUE	TRUE
72	4.309647098168046e-5	1.2868474845460215e-5	3.3463955552836584	2.327910213283121	3.1519186480782495	TRUE	TRUE
73	4.457144061659256e-5	1.3412305589067587e-5	3.320699288272487	2.240080491737636	3.0291659284926227	TRUE	TRUE
74	4.735229633547358e-5	1.4593709755255669e-5	3.242484076241803	2.17146149489854	2.9022156759027604	TRUE	TRUE
75	5.1303434843460806e-5	1.580130444210955e-5	3.2447313269629183	2.1549044038399114	2.871323535425724	TRUE	TRUE
76	5.616116748826581e-5	1.7694475984519567e-5	3.1721451421308364	2.103858094073138	2.8136802491875073	TRUE	TRUE
77	6.481796958784676e-5	2.1306046242041255e-5	3.0408063883820744	1.979691637333415	2.5451584483632783	TRUE	TRUE
