fragment_length	cancer	healthy	enrichment	threshold_95	threshold_99	sig_95	sig_99
50	5.921362813373178e-6	1.6628481486887993e-6	3.53968937229265	4.240687264570063	5.066155237710747	FALSE	FALSE
51	5.786933300364764e-6	1.8434727910771542e-6	3.12221108840862	3.833257264552455	4.540267935757679	FALSE	FALSE
52	5.717718085394937e-6	1.904724223187137e-6	2.9861836060534928	3.6609041534721944	4.305460755120324	FALSE	FALSE
53	5.909647381573546e-6	1.936095519816851e-6	3.0366687150740215	3.6508033320563316	4.3424358842208095	FALSE	FALSE
54	6.191125908403633e-6	2.2251502160260273e-6	2.7698925396661305	3.398041909443878	4.031727586785048	FALSE	FALSE
55	7.347505402012317e-6	2.4581801734441006e-6	2.9768918335323966	3.4471571734244115	4.073509993234856	FALSE	FALSE
56	8.256262378797663e-6	2.7886538112164876e-6	2.950083481461011	3.4475471838096183	4.059381460893658	FALSE	FALSE
57	9.749448833621251e-6	3.092894030527785e-6	3.142050207870916	3.5496082810306935	4.24488817435621	FALSE	FALSE
58	1.2326814559289198e-5	3.5965623978590908e-6	3.417884733286905	3.757831096562955	4.44525147434095	FALSE	FALSE
59	1.4968884631110337e-5	4.309609027853312e-6	3.465333212934164	3.8302552590284273	4.525353438208923	FALSE	FALSE
60	1.7132680359298052e-5	4.510632765754107e-6	3.789885453444939	3.9191944904231906	4.720201841156851	FALSE	FALSE
61	1.786922944404083e-5	5.121280542673959e-6	3.4824113192472237	3.6747418495031963	4.394818933623143	FALSE	FALSE
62	1.722255454423017e-5	5.364701485793571e-6	3.204374157290946	3.4273347675549073	4.106800956682333	FALSE	FALSE
63	1.7941647309977853e-5	5.215325810199566e-6	3.433593992351	3.329676201687464	3.993804750922187	TRUE	FALSE
64	1.886280727909714e-5	5.581357830441389e-6	3.373564678046743	3.257700172983841	3.9020221379250875	TRUE	FALSE
65	2.088588828604106e-5	6.278749137798909e-6	3.321151444967833	3.144043287806852	3.8078429109106806	TRUE	FALSE
66	2.3151961827637486e-5	7.036066011898716e-6	3.285799733999183	3.0595885742167637	3.7503431917044643	TRUE	FALSE
67	2.569853093179604e-5	8.102878066943695e-6	3.167621985655857	2.9897542487685485	3.6419776905401915	TRUE	FALSE
68	3.0682176367886856e-5	9.26695322313281e-6	3.3073548642434076	3.096527992575638	3.788644266136076	TRUE	FALSE
69	3.9100857592469303e-5	1.190594226808635e-5	3.2813903183460735	3.039855298987949	3.7671023866118603	TRUE	FALSE
70	4.512124807282101e-5	1.3900966896162357e-5	3.2435738226987434	3.0208949990448644	3.722298332938532	TRUE	FALSE
71	4.261264473661427e-5	1.3491401300932338e-5	3.1561645926094837	2.9325964976732406	3.6110195749979583	TRUE	FALSE
