fragment_length	selection_freq
50	0.446
51	0.4
52	0.401
53	0.411
54	0.37
55	0.435
56	0.412
57	0.447
58	0.5
59	0.484
60	0.539
61	0.524
62	0.505
63	0.568
64	0.569
65	0.587
66	0.598
67	0.586
68	0.588
69	0.6
70	0.591
71	0.591
72	0.62
73	0.644
74	0.654
75	0.668
76	0.678
77	0.735
78	0.762
79	0.757
80	0.689
81	0.554
82	0.521
83	0.468
84	0.381
85	0.381
86	0.38
87	0.379
88	0.342
89	0.295
90	0.312
91	0.393
92	0.394
93	0.416
94	0.599
95	0.75
96	0.814
97	0.82
98	0.798
99	0.725
100	0.68
101	0.654
102	0.712
103	0.806
104	0.838
105	0.876
106	0.891
107	0.891
108	0.864
109	0.796
110	0.684
111	0.596
112	0.575
113	0.652
114	0.736
115	0.755
116	0.758
117	0.75
118	0.734
119	0.672
120	0.578
121	0.49
122	0.452
123	0.447
124	0.545
125	0.659
126	0.726
127	0.732
128	0.733
129	0.717
130	0.665
131	0.614
132	0.547
133	0.491
134	0.465
135	0.504
136	0.611
137	0.699
138	0.728
139	0.706
140	0.644
141	0.595
142	0.582
143	0.602
144	0.614
145	0.62
146	0.667
147	0.716
148	0.747
149	0.748
150	0.728
151	0.677
152	0.629
153	0.59
154	0.583
155	0.582
156	0.579
157	0.572
158	0.574
159	0.583
160	0.575
161	0.58
162	0.581
163	0.585
164	0.608
165	0.596
166	0.57
167	0.55
168	0.527
169	0.49
170	0.452
171	0.39
172	0.316
173	0.266
174	0.206
175	0.13
176	0.079
177	0.034
178	0.009
179	0.003
180	0.001
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0.002
254	0.004
255	0.002
256	0.002
257	0.001
258	0.006
259	0.004
260	0.002
261	0.002
262	0.001
263	0.006
264	0.007
265	0.001
266	0.007
267	0.025
268	0.029
269	0.013
270	0.016
271	0.029
272	0.029
273	0.018
274	0.018
275	0.028
276	0.031
277	0.028
278	0.03
279	0.032
280	0.026
281	0.024
282	0.013
283	0.009
284	0.011
285	0.008
286	0.008
287	0.004
288	0.007
289	0.006
290	0.006
291	0.005
292	0.005
293	0.006
294	0.005
295	0.002
296	0.001
297	0.005
298	0.005
299	0.005
300	0.002
301	0.004
302	0.007
303	0.005
304	0.003
305	0.005
306	0.007
307	0.007
308	0.007
309	0.007
310	0.012
311	0.014
312	0.012
313	0.011
314	0.017
315	0.017
316	0.016
317	0.015
318	0.017
319	0.017
320	0.017
321	0.016
322	0.02
323	0.021
324	0.02
325	0.019
326	0.019
327	0.02
328	0.019
329	0.018
330	0.022
331	0.024
332	0.021
333	0.019
334	0.02
335	0.029
336	0.03
337	0.029
338	0.027
339	0.031
340	0.031
341	0.029
342	0.03
343	0.036
344	0.036
345	0.033
346	0.034
347	0.04
348	0.041
349	0.038
350	0.038
351	0.042
352	0.044
353	0.041
354	0.037
355	0.043
356	0.044
357	0.043
358	0.041
359	0.044
360	0.044
361	0.043
362	0.042
363	0.043
364	0.045
365	0.043
366	0.043
367	0.043
368	0.044
369	0.044
370	0.042
371	0.043
372	0.046
373	0.045
374	0.043
375	0.044
376	0.048
377	0.047
378	0.045
379	0.047
380	0.049
381	0.049
382	0.049
383	0.048
384	0.048
385	0.048
386	0.046
387	0.046
388	0.047
389	0.047
390	0.047
391	0.047
392	0.047
393	0.047
394	0.045
395	0.046
396	0.046
397	0.046
398	0.044
399	0.045
400	0.046
401	0.046
402	0.045
403	0.046
404	0.05
405	0.05
406	0.049
407	0.051
408	0.051
409	0.052
410	0.053
411	0.055
412	0.054
413	0.055
414	0.056
415	0.057
416	0.058
417	0.06
418	0.061
419	0.06
420	0.061
421	0.061
422	0.06
423	0.063
424	0.061
425	0.062
426	0.062
427	0.065
428	0.067
429	0.066
430	0.066
431	0.066
432	0.066
433	0.066
434	0.066
435	0.066
436	0.066
437	0.066
438	0.067
439	0.065
440	0.067
441	0.067
442	0.066
443	0.067
444	0.067
445	0.066
446	0.065
447	0.068
448	0.067
449	0.068
450	0.066
