chr	start	end	arm	gc	map	blacklisted_bases
chr1	5000000	10000000	1p	0.482688	0.994568	0
chr1	10000000	15000000	1p	0.469852	0.921633	0
chr1	15000000	20000000	1p	0.491273	0.964039	0
chr1	20000000	25000000	1p	0.473678	0.990909	0
chr1	25000000	30000000	1p	0.475172	0.984189	0
chr1	30000000	35000000	1p	0.467092	0.990154	0
chr1	35000000	40000000	1p	0.458864	0.991182	0
chr1	40000000	45000000	1p	0.454269	0.992547	0
chr1	45000000	50000000	1p	0.426928	0.976367	0
chr1	50000000	55000000	1p	0.438627	0.994004	0
chr1	55000000	60000000	1p	0.408591	0.988297	0
chr1	60000000	65000000	1p	0.400518	0.989993	0
chr1	65000000	70000000	1p	0.385541	0.983230	0
chr1	70000000	75000000	1p	0.360352	0.988169	0
chr1	75000000	80000000	1p	0.376087	0.985330	0
chr1	80000000	85000000	1p	0.369183	0.970629	0
chr1	85000000	90000000	1p	0.387132	0.982910	0
chr1	90000000	95000000	1p	0.402053	0.986863	2100
chr1	95000000	100000000	1p	0.369822	0.987839	0
chr1	100000000	105000000	1p	0.360008	0.956906	166200
chr1	105000000	110000000	1p	0.387917	0.954188	0
chr1	110000000	115000000	1p	0.421293	0.987578	0
chr1	115000000	120000000	1p	0.410068	0.982432	0
chr1	150000000	155000000	1q	0.445977	0.987733	0
chr1	155000000	160000000	1q	0.440492	0.981113	0
chr1	160000000	165000000	1q	0.413796	0.969668	49300
chr1	165000000	170000000	1q	0.405796	0.988470	1300
chr1	170000000	175000000	1q	0.386965	0.980708	0
chr1	175000000	180000000	1q	0.407189	0.987135	0
chr1	180000000	185000000	1q	0.414584	0.990140	0
chr1	185000000	190000000	1q	0.357170	0.984581	0
chr1	190000000	195000000	1q	0.350162	0.990384	0
chr1	195000000	200000000	1q	0.356690	0.981579	0
chr1	200000000	205000000	1q	0.460768	0.992780	0
chr1	205000000	210000000	1q	0.434154	0.950334	0
chr1	210000000	215000000	1q	0.414555	0.990884	0
chr1	215000000	220000000	1q	0.375502	0.988499	0
chr1	220000000	225000000	1q	0.412108	0.962633	6200
chr1	225000000	230000000	1q	0.447645	0.971366	0
chr1	230000000	235000000	1q	0.425744	0.991239	0
chr1	235000000	240000000	1q	0.398680	0.991553	2600
chr1	240000000	245000000	1q	0.404121	0.973390	0
chr2	0	5000000	2p	0.440143	0.981763	20200
chr2	5000000	10000000	2p	0.420249	0.992773	0
chr2	10000000	15000000	2p	0.414815	0.988570	21200
chr2	15000000	20000000	2p	0.405799	0.989681	0
